timestamp,total_consumption_mw,total_consumption_kwh,industrial_consumption_mw,residential_consumption_mw,per_capita_kwh,temperature_factor,humidity_factor,rainfall_factor,aqi_factor,weather_factor,time_factor,month,hour,day_of_week,is_weekend,season,is_holiday
2020-01-01 00:00:00,1790.1,1790099.82,1163.56,626.53,210599.979,1.384,1.0,1.0,1.06,1.467,0.44,1,0,2,False,winter,False
2020-01-01 01:00:00,1452.26,1452264.88,943.97,508.29,170854.692,1.444,1.0,1.0,1.0,1.444,0.4,1,1,2,False,winter,False
2020-01-01 02:00:00,1483.75,1483747.87,964.44,519.31,174558.573,1.426,1.0,1.0,1.044,1.489,0.384,1,2,2,False,winter,False
2020-01-01 03:00:00,1890.07,1890067.71,1228.54,661.52,222360.907,1.864,1.0,1.015,1.008,1.907,0.384,1,3,2,False,winter,False
2020-01-01 04:00:00,1371.23,1371228.81,891.3,479.93,161321.037,1.222,1.013,1.012,1.0,1.253,0.416,1,4,2,False,winter,False
2020-01-01 05:00:00,1324.1,1324104.35,860.67,463.44,155776.983,1.048,1.0,1.0,1.055,1.106,0.48,1,5,2,False,winter,False
2020-01-01 06:00:00,1641.87,1641870.66,1067.22,574.65,193161.254,1.012,1.0,1.0,1.033,1.045,0.56,1,6,2,False,winter,False
2020-01-01 07:00:00,1714.83,1714828.55,1114.64,600.19,201744.536,1.0,1.0,1.0,1.0,1.0,0.64,1,7,2,False,winter,False
2020-01-01 08:00:00,1729.27,1729266.0,1124.02,605.24,203443.058,1.0,1.0,1.0,1.017,1.017,0.68,1,8,2,False,winter,False
2020-01-01 09:00:00,1913.73,1913729.99,1243.92,669.81,225144.705,1.0,1.0,1.0,1.0,1.0,0.72,1,9,2,False,winter,False
2020-01-01 10:00:00,1832.53,1832528.9,1191.14,641.39,215591.635,1.0,1.0,1.0,1.011,1.011,0.76,1,10,2,False,winter,False
2020-01-01 11:00:00,2391.99,2391991.52,1554.79,837.2,281410.767,1.0,1.0,1.0,1.066,1.066,0.84,1,11,2,False,winter,False
